Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I1_5,TS_boundary,ALL,*,QUAL,*,0.4,0.809524,0.764045,0.535433,0,0,41689983.000000,32971317.000000,0.000000,5,.,.,5.000000,0.000000,,,2,.,.,2.000000,0.000000,,,3,.,.,3.000000,0.000000,,,89,.,.,36.000000,45.000000,,0.8,17,.,.,3.000000,14.000000,,0.214285714286,4,.,.,3.000000,0.000000,,,68,.,.,30.000000,31.000000,,0.967741935484
INDEL,I1_5,TS_boundary,PASS,*,QUAL,*,0.2,0.5,0.666667,0.285714,0,0,41689983.000000,32971317.000000,0.000000,5,.,.,5.000000,0.000000,,,1,.,.,1.000000,0.000000,,,4,.,.,4.000000,0.000000,,,12,.,.,8.000000,2.000000,,4.0,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,8,.,.,4.000000,2.000000,,2.0
INDEL,I1_5,TS_contained,ALL,*,QUAL,*,0.967447,0.978708,0.0,0.973045,44,0,32971317.000000,32971317.000000,0.000000,4270,.,.,2264.000000,1778.000000,,1.2733408324,4131,.,.,2159.000000,1759.000000,,1.22740193292,139,.,.,105.000000,19.000000,,5.52631578947,4227,.,.,2184.000000,1800.000000,,1.21333333333,4137,.,.,2159.000000,1770.000000,,1.2197740113,90,.,.,25.000000,30.000000,,0.833333333333,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,PASS,*,QUAL,*,0.674941,0.986685,0.0,0.80157,22,0,32971317.000000,32971317.000000,0.000000,4270,.,.,2264.000000,1778.000000,,1.2733408324,2882,.,.,1326.000000,1465.000000,,0.905119453925,1388,.,.,938.000000,313.000000,,2.99680511182,2929,.,.,1339.000000,1488.000000,,0.899865591398,2890,.,.,1327.000000,1473.000000,,0.900882552614,39,.,.,12.000000,15.000000,,0.8,0,.,.,0.000000,0.000000,,
INDEL,I6_15,*,ALL,*,QUAL,*,0.933333,0.935185,0.550936,0.934258,14,0,41689983,32971317.000000,0.000000,435,.,.,243.000000,114.000000,,2.13157894737,406,.,.,224.000000,110.000000,,2.03636363636,29,.,.,19.000000,4.000000,,4.75,962,.,.,535.000000,198.000000,,2.70202020202,404,.,.,221.000000,111.000000,,1.99099099099,28,.,.,8.000000,5.000000,,1.6,530,.,.,306.000000,82.000000,,3.73170731707
INDEL,I6_15,*,PASS,*,QUAL,*,0.572414,0.96139,0.34596,0.717579,6,0,41689983,32971317.000000,0.000000,435,.,.,243.000000,114.000000,,2.13157894737,249,.,.,123.000000,79.000000,,1.55696202532,186,.,.,120.000000,35.000000,,3.42857142857,396,.,.,187.000000,102.000000,,1.83333333333,249,.,.,122.000000,80.000000,,1.525,10,.,.,1.000000,1.000000,,1.0,137,.,.,64.000000,21.000000,,3.04761904762
INDEL,I6_15,TS_boundary,ALL,*,QUAL,*,0.666667,0.4,0.6875,0.5,1,0,41689983.000000,32971317.000000,0.000000,3,.,.,2.000000,1.000000,,2.0,2,.,.,1.000000,1.000000,,1.0,1,.,.,1.000000,0.000000,,,16,.,.,7.000000,4.000000,,1.75,2,.,.,1.000000,1.000000,,1.0,3,.,.,1.000000,0.000000,,,11,.,.,5.000000,3.000000,,1.66666666667
INDEL,I6_15,TS_boundary,PASS,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,32971317.000000,0.000000,3,.,.,2.000000,1.000000,,2.0,0,.,.,0.000000,0.000000,,,3,.,.,2.000000,1.000000,,2.0,5,.,.,3.000000,2.000000,,1.5,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,3.000000,2.000000,,1.5
INDEL,I6_15,TS_contained,ALL,*,QUAL,*,0.935185,0.941452,0.0,0.938308,13,0,32971317.000000,32971317.000000,0.000000,432,.,.,241.000000,113.000000,,2.13274336283,404,.,.,223.000000,109.000000,,2.04587155963,28,.,.,18.000000,4.000000,,4.5,427,.,.,227.000000,115.000000,,1.97391304348,402,.,.,220.000000,110.000000,,2.0,25,.,.,7.000000,5.000000,,1.4,0,.,.,0.000000,0.000000,,
INDEL,I6_15,TS_contained,PASS,*,QUAL,*,0.576389,0.96139,0.0,0.720695,6,0,32971317.000000,32971317.000000,0.000000,432,.,.,241.000000,113.000000,,2.13274336283,249,.,.,123.000000,79.000000,,1.55696202532,183,.,.,118.000000,34.000000,,3.47058823529,259,.,.,123.000000,81.000000,,1.51851851852,249,.,.,122.000000,80.000000,,1.525,10,.,.,1.000000,1.000000,,1.0,0,.,.,0.000000,0.000000,,
SNP,*,*,ALL,*,QUAL,*,0.986553,0.968166,0.282658,0.977273,151,0,41689983,32971317.000000,0.000000,51016,34464.000000,16559.000000,31338.000000,19668.000000,2.08128510176,1.59334960342,50330,34060.000000,16277.000000,30896.000000,19424.000000,2.09252319223,1.59060955519,686,404.000000,282.000000,442.000000,244.000000,1.43262411348,1.81147540984,69409,46296.000000,25904.000000,48528.000000,20419.000000,1.78721432983,2.37661002008,48205,33144.000000,15810.000000,29662.000000,18411.000000,2.09639468691,1.61110205855,1585,1269.000000,967.000000,1363.000000,85.000000,1.31230610134,16.0352941176,19619,11883.000000,9127.000000,17503.000000,1923.000000,1.30196121398,9.10192407696
SNP,*,*,PASS,*,QUAL,*,0.924553,0.99045,0.081687,0.956368,85,0,41689983,32971317.000000,0.000000,51016,34464.000000,16559.000000,31338.000000,19668.000000,2.08128510176,1.59334960342,47167,32291.000000,14883.000000,28900.000000,18257.000000,2.16965665524,1.58295448321,3849,2173.000000,1676.000000,2438.000000,1411.000000,1.29653937947,1.72785258682,50057,34529.000000,16502.000000,31503.000000,18273.000000,2.09241304084,1.72401904449,45529,31578.000000,14597.000000,27964.000000,17445.000000,2.16332123039,1.60298079679,439,356.000000,234.000000,308.000000,45.000000,1.52136752137,6.84444444444,4089,2595.000000,1671.000000,3231.000000,783.000000,1.55296229803,4.12643678161
SNP,*,TS_boundary,ALL,*,QUAL,*,0.432624,0.115183,0.41411,0.181929,4,0,41689983.000000,32971317.000000,0.000000,141,71.000000,70.000000,78.000000,63.000000,1.01428571429,1.2380952381,61,20.000000,41.000000,15.000000,46.000000,0.487804878049,0.326086956522,80,51.000000,29.000000,63.000000,17.000000,1.75862068966,3.70588235294,326,224.000000,180.000000,263.000000,56.000000,1.24444444444,4.69642857143,22,6.000000,17.000000,11.000000,11.000000,0.352941176471,1.0,169,140.000000,102.000000,158.000000,5.000000,1.37254901961,31.6,135,78.000000,61.000000,94.000000,40.000000,1.27868852459,2.35
SNP,*,TS_boundary,PASS,*,QUAL,*,0.035461,0.108108,0.579545,0.053405,3,0,41689983.000000,32971317.000000,0.000000,141,71.000000,70.000000,78.000000,63.000000,1.01428571429,1.2380952381,5,1.000000,4.000000,0.000000,5.000000,0.25,0.0,136,70.000000,66.000000,78.000000,58.000000,1.06060606061,1.34482758621,88,55.000000,49.000000,53.000000,30.000000,1.12244897959,1.76666666667,4,1.000000,3.000000,0.000000,4.000000,0.333333333333,0.0,33,25.000000,23.000000,28.000000,1.000000,1.08695652174,28.0,51,29.000000,23.000000,25.000000,25.000000,1.26086956522,1.0
SNP,*,TS_contained,ALL,*,QUAL,*,0.988088,0.971451,0.0,0.979699,147,0,32971317.000000,32971317.000000,0.000000,50875,34393.000000,16489.000000,31260.000000,19605.000000,2.08581478561,1.59449120122,50269,34040.000000,16236.000000,30881.000000,19378.000000,2.09657551121,1.5936113118,606,353.000000,253.000000,379.000000,227.000000,1.395256917,1.66960352423,49599,34267.000000,16658.000000,30856.000000,18480.000000,2.05708968664,1.6696969697,48183,33138.000000,15793.000000,29651.000000,18400.000000,2.09827138606,1.6114673913,1416,1129.000000,865.000000,1205.000000,80.000000,1.30520231214,15.0625,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,TS_contained,PASS,*,QUAL,*,0.927017,0.991161,0.0,0.958016,82,0,32971317.000000,32971317.000000,0.000000,50875,34393.000000,16489.000000,31260.000000,19605.000000,2.08581478561,1.59449120122,47162,32290.000000,14879.000000,28900.000000,18252.000000,2.17017272666,1.58338812185,3713,2103.000000,1610.000000,2360.000000,1353.000000,1.30621118012,1.74427198817,45931,31908.000000,14805.000000,28244.000000,17485.000000,2.15521783181,1.61532742351,45525,31577.000000,14594.000000,27964.000000,17441.000000,2.16369740989,1.60334843186,406,331.000000,211.000000,280.000000,44.000000,1.56872037915,6.36363636364,0,0.000000,0.000000,0.000000,0.000000,,
