Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,9116,7463,1653,10926,780,2710,539,0.81867,0.905063,0.248032,0.859702,,,1.42229635808,1.19710822879
INDEL,PASS,9116,7463,1653,10926,780,2710,539,0.81867,0.905063,0.248032,0.859702,,,1.42229635808,1.19710822879
SNP,ALL,51007,50418,589,70190,604,20643,128,0.988453,0.98781,0.294102,0.988131,2.08092764827,1.81872730144,1.59289200732,2.10892236385
SNP,PASS,51007,50418,589,70190,604,20643,128,0.988453,0.98781,0.294102,0.988131,2.08092764827,1.81872730144,1.59289200732,2.10892236385
