Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,9126,8575,551,14040,315,5119,63,0.939623,0.96469,0.364601,0.951992,,,1.4244024458,1.73427152318
INDEL,PASS,9126,8575,551,14014,314,5094,63,0.939623,0.964798,0.363494,0.952044,,,1.4244024458,1.72945559925
SNP,ALL,51016,50161,855,70558,105,20355,61,0.983241,0.997908,0.288486,0.99052,2.08128510176,1.85362600049,1.59334960342,2.28566102801
SNP,PASS,51016,50160,856,70468,105,20266,61,0.983221,0.997908,0.287592,0.99051,2.08128510176,1.85425691268,1.59334960342,2.28253775872
