Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,ALL,*,QUAL,10036.400391,0.695634,0.990849,0.23834699999999998,0.40870100000000004,44361,30859,13502,40890,30859,285,9746,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10037.900391,0.695566,0.990848,0.23834,0.40867800000000004,44361,30856,13505,40887,30857,285,9745,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,100375.000000,0.00257,0.857143,0.76036,0.002562,44361,114,44247,555,114,19,422,14,0,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10039.700195,0.695566,0.990848,0.23835100000000004,0.40867800000000004,44361,30856,13505,40885,30855,285,9745,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1004.679993,0.9701540000000001,0.986476,0.309732,0.489124,44361,43037,1324,63203,43037,590,19576,68,296,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10043.099609,0.695543,0.9908469999999999,0.238357,0.40867,44361,30855,13506,40884,30854,285,9745,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10045.099609,0.695476,0.9908469999999999,0.23834499999999997,0.408647,44361,30852,13509,40882,30853,285,9744,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10046.700195,0.695453,0.9908469999999999,0.238319,0.408639,44361,30851,13510,40878,30851,285,9742,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10047.900391,0.695453,0.9908469999999999,0.23828200000000002,0.408639,44361,30851,13510,40876,30851,285,9740,38,150,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10049.599609,0.695431,0.990878,0.23829299999999998,0.408636,44361,30850,13511,40874,30850,284,9740,38,149,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,1005.890015,0.970131,0.986476,0.309715,0.48911800000000005,44361,43036,1325,63200,43036,590,19574,68,296,,,,,,,,,,,,,,
SNP,*,*,ALL,*,QUAL,10050.700195,0.6953630000000001,0.990941,0.238317,0.408624,44361,30847,13514,40870,30848,282,9740,38,147,,,,,,,,,,,,,,
