Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,9140,7448,1692,11144,737,2883,285,0.81488,0.910786,0.258704,,,1.427618783,1.33452933727
INDEL,PASS,9140,7448,1692,11144,737,2883,285,0.81488,0.910786,0.258704,,,1.427618783,1.33452933727
SNP,ALL,51016,50617,399,74716,365,23784,66,0.992179,0.992834,0.318325,2.08128510176,1.78669947066,1.59334960342,2.09570806552
SNP,PASS,51016,50617,399,74716,365,23784,66,0.992179,0.992834,0.318325,2.08128510176,1.78669947066,1.59334960342,2.09570806552
