Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,9140,8542,598,14475,383,5335,18,0.934573,0.958096,0.368566,,,1.427618783,1.93149834437
INDEL,PASS,9140,8542,598,14449,382,5310,18,0.934573,0.958201,0.367499,,,1.427618783,1.9267232457
SNP,ALL,51016,50157,859,70641,120,20415,60,0.983162,0.997611,0.288996,2.08128510176,1.85179356817,1.59334960342,2.28952886901
SNP,PASS,51016,50156,860,70551,120,20326,60,0.983143,0.997611,0.288104,2.08128510176,1.85242059323,1.59334960342,2.28640686183
