Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.81488,0.910786,0.258704,0.860168,285,412,0.000000,9140,.,.,5138.000000,3599.000000,,1.427618783,7448,.,.,4048.000000,3272.000000,,1.23716381418,1692,.,.,1090.000000,327.000000,,3.33333333333,11144,.,.,6323.000000,4738.000000,,1.33452933727,7524,.,.,4201.000000,3264.000000,,1.28707107843,737,.,.,374.000000,353.000000,,1.05949008499,2883,.,.,1748.000000,1121.000000,,1.5593220339
INDEL,*,*,PASS,*,QUAL,*,0.81488,0.910786,0.258704,0.860168,285,412,0.000000,9140,.,.,5138.000000,3599.000000,,1.427618783,7448,.,.,4048.000000,3272.000000,,1.23716381418,1692,.,.,1090.000000,327.000000,,3.33333333333,11144,.,.,6323.000000,4738.000000,,1.33452933727,7524,.,.,4201.000000,3264.000000,,1.28707107843,737,.,.,374.000000,353.000000,,1.05949008499,2883,.,.,1748.000000,1121.000000,,1.5593220339
INDEL,*,exons,ALL,*,QUAL,*,0.787037,0.925532,0.096154,0.850684,2,5,638583.000000,108,.,.,55.000000,48.000000,,1.14583333333,85,.,.,38.000000,45.000000,,0.844444444444,23,.,.,17.000000,3.000000,,5.66666666667,104,.,.,48.000000,56.000000,,0.857142857143,87,.,.,42.000000,45.000000,,0.933333333333,7,.,.,2.000000,5.000000,,0.4,10,.,.,4.000000,6.000000,,0.666666666667
INDEL,*,exons,PASS,*,QUAL,*,0.787037,0.925532,0.096154,0.850684,2,5,638583.000000,108,.,.,55.000000,48.000000,,1.14583333333,85,.,.,38.000000,45.000000,,0.844444444444,23,.,.,17.000000,3.000000,,5.66666666667,104,.,.,48.000000,56.000000,,0.857142857143,87,.,.,42.000000,45.000000,,0.933333333333,7,.,.,2.000000,5.000000,,0.4,10,.,.,4.000000,6.000000,,0.666666666667
INDEL,*,exons_ABCG1,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3475.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ABCG1,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3475.000000,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS1,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5191.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS1,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,5191.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS5,ALL,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,9056.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,exons_ADAMTS5,PASS,*,QUAL,*,1.0,1.0,0.0,1.0,0,0,9056.000000,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
